,city,city_id
354,Nagareyama,355
355,Najafabad,356
356,Naju,357
357,Nakhon Sawan,358
358,Nam Dinh,359
359,Namibe,360
360,Nantou,361
361,Nanyang,362
362,NDjamna,363
363,Newcastle,364
364,Nezahualcyotl,365
365,Nha Trang,366
366,Niznekamsk,367
367,Novi Sad,368
368,Novoterkassk,369
369,Nukualofa,370
370,Nuuk,371
371,Nyeri,372
372,Ocumare del Tuy,373
373,Ogbomosho,374
374,Okara,375
375,Okayama,376
376,Okinawa,377
377,Olomouc,378
378,Omdurman,379
379,Omiya,380
380,Ondo,381
381,Onomichi,382
382,Oshawa,383
383,Osmaniye,384
384,ostka,385
385,Otsu,386
386,Oulu,387
387,Ourense (Orense),388
388,Owo,389
389,Oyo,390
390,Ozamis,391
391,Paarl,392
392,Pachuca de Soto,393
393,Pak Kret,394
394,Palghat (Palakkad),395
395,Pangkal Pinang,396
396,Papeete,397
397,Parbhani,398
398,Pathankot,399
399,Patiala,400
400,Patras,401
401,Pavlodar,402
402,Pemalang,403
403,Peoria,404
404,Pereira,405
405,Phnom Penh,406
406,Pingxiang,407
407,Pjatigorsk,408
408,Plock,409
409,Po,410
410,Ponce,411
411,Pontianak,412
412,Poos de Caldas,413
413,Portoviejo,414
414,Probolinggo,415
415,Pudukkottai,416
416,Pune,417
417,Purnea (Purnia),418
418,Purwakarta,419
419,Pyongyang,420
420,Qalyub,421
421,Qinhuangdao,422
422,Qomsheh,423
423,Quilmes,424
424,Rae Bareli,425
425,Rajkot,426
426,Rampur,427
427,Rancagua,428
428,Ranchi,429
429,Richmond Hill,430
430,Rio Claro,431
431,Rizhao,432
432,Roanoke,433
433,Robamba,434
434,Rockford,435
435,Ruse,436
436,Rustenburg,437
437,s-Hertogenbosch,438
438,Saarbrcken,439
439,Sagamihara,440
440,Saint Louis,441
441,Saint-Denis,442
442,Sal,443
443,Salala,444
444,Salamanca,445
445,Salinas,446
446,Salzburg,447
447,Sambhal,448
448,San Bernardino,449
449,San Felipe de Puerto Plata,450
450,San Felipe del Progreso,451
451,San Juan Bautista Tuxtepec,452
452,San Lorenzo,453
453,San Miguel de Tucumn,454
454,Sanaa,455
455,Santa Brbara dOeste,456
456,Santa F,457
457,Santa Rosa,458
458,Santiago de Compostela,459
459,Santiago de los Caballeros,460
460,Santo Andr,461
461,Sanya,462
462,Sasebo,463
463,Satna,464
464,Sawhaj,465
465,Serpuhov,466
466,Shahr-e Kord,467
467,Shanwei,468
468,Shaoguan,469
469,Sharja,470
470,Shenzhen,471
471,Shikarpur,472
472,Shimoga,473
473,Shimonoseki,474
474,Shivapuri,475
475,Shubra al-Khayma,476
476,Siegen,477
477,Siliguri (Shiliguri),478
478,Simferopol,479
479,Sincelejo,480
480,Sirjan,481
481,Sivas,482
482,Skikda,483
483,Smolensk,484
484,So Bernardo do Campo,485
485,So Leopoldo,486
486,Sogamoso,487
487,Sokoto,488
488,Songkhla,489
489,Sorocaba,490
490,Soshanguve,491
491,Sousse,492
492,South Hill,493
493,Southampton,494
494,Southend-on-Sea,495
495,Southport,496
496,Springs,497
497,Stara Zagora,498
498,Sterling Heights,499
499,Stockport,500
500,Sucre,501
501,Suihua,502
502,Sullana,503
503,Sultanbeyli,504
504,Sumqayit,505
505,Sumy,506
506,Sungai Petani,507
507,Sunnyvale,508
508,Surakarta,509
509,Syktyvkar,510
510,Syrakusa,511
511,Szkesfehrvr,512
512,Tabora,513
513,Tabriz,514
514,Tabuk,515
515,Tafuna,516
516,Taguig,517
517,Taizz,518
518,Talavera,519
519,Tallahassee,520
520,Tama,521
521,Tambaram,522
522,Tanauan,523
523,Tandil,524
524,Tangail,525
525,Tanshui,526
526,Tanza,527
527,Tarlac,528
528,Tarsus,529
529,Tartu,530
530,Teboksary,531
531,Tegal,532
532,Tel Aviv-Jaffa,533
533,Tete,534
534,Tianjin,535
535,Tiefa,536
536,Tieli,537
537,Tokat,538
538,Tonghae,539
539,Tongliao,540
540,Torren,541
541,Touliu,542
542,Toulon,543
543,Toulouse,544
544,Trshavn,545
545,Tsaotun,546
546,Tsuyama,547
547,Tuguegarao,548
548,Tychy,549
549,Udaipur,550
550,Udine,551
551,Ueda,552
552,Uijongbu,553
553,Uluberia,554
554,Urawa,555
555,Uruapan,556
556,Usak,557
557,Usolje-Sibirskoje,558
558,Uttarpara-Kotrung,559
559,Vaduz,560
560,Valencia,561
561,Valle de la Pascua,562
562,Valle de Santiago,563
563,Valparai,564
564,Vancouver,565
565,Varanasi (Benares),566
566,Vicente Lpez,567
567,Vijayawada,568
568,Vila Velha,569
569,Vilnius,570
570,Vinh,571
571,Vitria de Santo Anto,572
572,Warren,573
573,Weifang,574
574,Witten,575
575,Woodridge,576
576,Wroclaw,577
577,Xiangfan,578
578,Xiangtan,579
579,Xintai,580
580,Xinxiang,581
581,Yamuna Nagar,582
582,Yangor,583
583,Yantai,584
584,Yaound,585
585,Yerevan,586
586,Yinchuan,587
587,Yingkou,588
588,York,589
589,Yuncheng,590
590,Yuzhou,591
591,Zalantun,592
592,Zanzibar,593
593,Zaoyang,594
594,Zapopan,595
595,Zaria,596
596,Zeleznogorsk,597
597,Zhezqazghan,598
598,Zhoushan,599
599,Ziguinchor,600
